Age of House (in Years) (bin),Condition of the house,Living area after renovation 2,Renovation Age Group,Renovation Status,Sale Price (bin),Years Since Renovation (bin),Zipcode Group,Age of House (in Years),Area of the House from Basement (in Sqft),Basement Area (in Sqft),Condition of the House Excellent,Condition of the House Fair,Condition of the House Good,Condition of the House Okay,Count of Sales Price,Ever Renovated Yes,Flat Area (in Sqft),Latitude,Living Area after Renovation (in Sqft),Longitude,Lot Area (in Sqft),Lot Area after Renovation (in Sqft),No of Bathrooms,No of Bedrooms,No of Floors,No of Times Visited,Number of records,Overall Grade,Sale Price,Total Records,Waterfront View Yes,Years Since Renovation
60,Good,Small,0,Recently Renovated,221900,0,00000,63,1180,0,0,1,0,0,1,0,1180,47.5112,1340,-122.257,5650,5650,1,3,1,0,1,7,221900,1,0,0
60,Good,Medium,20,Not Renovated,538000,25,00000,67,2170,400,0,1,0,0,1,1,2570,47.721,1690,-122.319,7242,7639,2.25,3,2,0,1,7,538000,1,0,26
80,Good,Large,0,Recently Renovated,180000,0,00000,85,770,0,0,1,0,0,1,0,770,47.7379,2720,-122.233,10000,8062,1,2,1,0,1,6,180000,1,0,0
50,Good,Small,0,Recently Renovated,604000,0,00000,53,1050,910,1,0,0,0,1,0,1960,47.5208,1360,-122.393,5000,5000,3,4,1,0,1,7,604000,1,0,0
30,Excellent,Medium,0,Recently Renovated,510000,0,00000,31,1680,0,0,1,0,0,1,0,1680,47.6168,1800,-122.045,8080,7503,2,3,1,0,1,8,510000,1,0,0
10,Excellent,Large,0,Recently Renovated,1129550,0,00000,17,3890,1530,0,1,0,0,1,0,5420,47.6561,4760,-122.005,101930,101930,4.5,4,1,0,1,10,1129575,1,0,0
20,Good,Medium,0,Recently Renovated,257500,0,00000,23,1715,0,0,1,0,0,1,0,1715,47.3097,2238,-122.327,6819,6819,2.25,3,2,0,1,7,257500,1,0,0
50,Good,Medium,0,Recently Renovated,291850,0,00000,55,1060,0,0,1,0,0,1,0,1060,47.4095,1650,-122.315,9711,9711,1.5,3,1,0,1,7,291850,1,0,0
50,Good,Medium,0,Recently Renovated,229500,0,00001,58,1050,730,0,1,0,0,1,0,1780,47.5123,1780,-122.337,7470,8113,1,3,1,0,1,7,229500,1,0,0
10,Good,Medium,0,Recently Renovated,323000,0,00001,15,1890,0,0,1,0,0,1,0,1890,47.3684,2390,-122.031,6560,7570,2.5,3,2,0,1,7,323000,1,0,0
50,Excellent,Medium,0,Recently Renovated,662500,0,00000,53,1860,1700,0,1,0,0,1,0,3560,47.6007,2210,-122.145,9796,8925,2.5,3,1,0,1,8,662500,1,0,0
70,Good,Small,0,Recently Renovated,468000,0,00000,76,860,300,0,0,1,0,1,0,1160,47.69,1330,-122.292,6000,6000,1,2,1,0,1,7,468000,1,0,0
